issue,title,validator comment,status,size,Best
validation-104,QA Report,being explicit about rounding direction is intended,Unsatisfactory,12,
validation-31,Gas Optimizations,valid optimization but a single finding of this low effort is not satisfactory,Unsatisfactory,13,
validation-88,QA Report,a single generic compiler version finding is not satisfactory,Unsatisfactory,14,
validation-254,QA Report,"finding is wrong, this is intentional",Unsatisfactory,16,
validation-7,QA Report,one missing sanity check is not satisfactory,Unsatisfactory,16,
validation-206,QA Report,invalid finding,Unsatisfactory,19,
validation-28,Gas Optimizations,"while true about the runtime of the algorithm, one finding of such quality is unsatisfactory",Unsatisfactory,20,
validation-12,QA Report,one misleading comment isn't satisfactory quality,Unsatisfactory,37,
validation-115,QA Report,"invalid finding, StRSR is an ERC20 so it must have the approve() function",Unsatisfactory,42,
validation-30,QA Report,"report points out user errors, unsatisfactory",Unsatisfactory,43,
validation-14,Gas Optimizations,"second finding is low effort, finding one alone is insufficient for satisfactory",Unsatisfactory,45,
validation-229,QA Report,"this one finding alone is not satisfactory, also the storage slots are correct, they don't all add up to 50 due to historic reasons",Unsatisfactory,48,
validation-199,QA Report,invalid findings,Unsatisfactory,57,
validation-133,QA Report,invalid findings,Unsatisfactory,75,
validation-113,QA Report,"both findings are only QA not Low, overall I consider it low effort, hence unsatisfactory",Unsatisfactory,79,
validation-13,QA Report,decent amount but low value / wrong findings,Unsatisfactory,106,
validation-22,Gas Optimizations,low effort,Unsatisfactory,158,
findings-49,QA Report,low value findings,Unsatisfactory,293,
findings-34,QA Report,"high value findings, at least L5 and L15 were reported as M by other wardens",Satisfactory,313,
findings-11,QA Report,"I believe most findings are invalid, on the edge of unsatisfactory",Satisfactory,325,
validation-157,QA Report,"a lot of noise in this report, overall satisfactory but not one of the best",Satisfactory,363,
validation-40,QA Report,"a lot of noise in this report, overall satisfactory but not one of the best",Satisfactory,876,
validation-54,QA Report,"generic findings, not spam but not very useful",Satisfactory,1002,
findings-10,QA Report,"a lot of findings, mostly high value findings",Satisfactory,1068,
validation-17,QA Report,"QA-4 is reorg which might be upgraded to M, QA-12 zero auction length was also reported as M by other wardens, high value findings",Satisfactory,1579,
validation-51,QA Report,only 1 insufficient quality finding,Unsatisfactory,2,
validation-8,Gas Optimizations,only 1 insufficient quality finding,Unsatisfactory,10,
validation-70,QA Report,"DutchTrade price does not go below ""worstPrice"" which according to definition is acceptable (if other sequencer findings are accepted I think this can be raised to Med), and msg.sender finding alone is unsatisfactory for a QA report",Unsatisfactory,18,
validation-9,QA Report,"finding is invalid, the string changes work as intended",Unsatisfactory,69,
validation-179,QA Report,the report is sufficient effort and makes some valid points even though for sure not everything is valid,Satisfactory,1371,
